words,sentiment_coeff
n,-1.805885835091525
o,-2.216748030946996
t,-1.9883046531173674
 ,-1.7792619222192996
m,-1.657711608609742
u,-1.6230030346959055
c,-1.9660522913183751
h,-1.9586569887941725
w,-1.7406771727649257
r,-1.9620692345725326
i,-1.5468891489946583
e,-1.7620085949717426
a,-2.2642658862447966
b,-1.7859685907146534
d,-1.9541538671704335
s,-2.2355058270294075
x,1.5621842148678173
l,-2.0322089439453346
y,-1.4929849552808003
p,-1.9251784845651683
f,-1.8610141515804692
g,-2.306396765215935
z,-1.0323082001244404
k,-1.378706630846604
q,-1.5082561244507449
v,-1.4010501927034278
j,-1.3535808780706329
1,4.10868278601596
9,1.8584730551783093
8,3.3954630550763816
0,3.5129560121080425
3,1.5171922968246883
5,3.744677933941821
2,3.3757801216842025
4,1.421462999810484
6,3.6518396587681554
_,4.010943227080549
7,2.6667130270167405
