words,sentiment_coeff
i,1.4912804614693416
t,1.563816412601969
 ,1.179586286523277
h,1.5353267141054212
a,1.3667913527286826
r,1.468236335872391
d,1.5460655163139796
o,1.4040302079736569
b,1.1397574937092743
e,1.4657630770382966
l,1.3788503382788653
v,1.2080401163881418
m,1.4532247486327328
y,1.5089548455951367
f,1.4764704223367064
s,1.6644188616246574
c,1.439811018777425
u,1.2222471102139723
1,-4.633293738318585
g,1.18813932344597
p,1.2964280706933202
w,1.368377748982819
n,1.5037618487676294
k,1.0652993446213026
9,-2.735754385058471
5,-2.0812776970454694
j,0.9054413227802587
x,1.0425450683296138
q,1.126432219255333
z,0.8371359209520928
0,-2.6641516018241083
3,-1.924032888645568
2,-3.0774882912752557
8,-3.4134051591475765
7,-3.953111076403859
4,-2.0143164407819585
6,-4.770962016331387
_,0.8838747039278816
